code,name,city,region
TBJ,7 Novembre,Tabarka,Tunisia
LCG,A Coruna,La Coruna,Spain
AAL,Aalborg,Aalborg,Denmark
AAR,Aarhus,Aarhus,Denmark
JEG,Aasiaat,Aasiaat,Greenland
ABD,Abadan,Abadan,Iran
ABA,Abakan,Abakan,Russia
YXX,Abbotsford,Abbotsford,Canada
MLG,Abdul Rachman Saleh,Malang,Indonesia
AEH,Abeche,Abeche,Chad
SNU,Abel Santamaria,Santa Clara,Cuba
ABR,Aberdeen Regional Airport,Aberdeen,United States
AHB,Abha,Abha,Saudi Arabia
ABJ,Abidjan Felix Houphouet Boigny Intl,Abidjan,Cote d'Ivoire
ABI,Abilene Rgnl,Abilene,United States
CJS,Abraham Gonzalez Intl,Ciudad Juarez,Mexico
SPI,Abraham Lincoln Capital,Springfield,United States
AUH,Abu Dhabi Intl,Abu Dhabi,United Arab Emirates
ABS,Abu Simbel,Abu Simbel,Egypt
ARA,Acadiana Rgnl,Louisiana,United States
SRG,Achmad Yani,Semarang,Indonesia
ADK,Adak Airport,Adak Island,United States
LIT,Adams Fld,Little Rock,United States
ADA,Adana,Adana,Turkey
ADL,Adelaide Intl,Adelaide,Australia
MGQ,Aden Adde International Airport,Mogadishu,Somalia
ADE,Aden Intl,Aden,Yemen
SOC,Adi Sumarmo Wiryokusumo,Solo City,Indonesia
JOG,Adi Sutjipto,Yogyakarta,Indonesia
SLK,Adirondack Regional Airport,Saranac Lake,United States
ADF,Adiyaman Airport,\N,Turkey
ADB,Adnan Menderes,Izmir,Turkey
AEP,Aeroparque Jorge Newbery,Buenos Aires,Argentina
BPS,Aeroporto de Porto Seguro,Porto Seguro,Brazil
TTQ,Aerotortuguero Airport,Roxana,Costa Rica
CWB,Afonso Pena,Curitiba,Brazil
AFY,Afyon,Afyon,Turkey
IXA,Agartala,Agartala,India
AGX,Agatti,Agatti Island,India
AGZ,Aggeneys,Aggeneys,South Africa
AGR,Agra,Agra,India
AJI,Agri Airport,\N,Turkey
AGQ,Agrinion,Agrinion,Greece
OCV,Aguas Claras,Ocana,Colombia
AGJ,Aguni,Aguni,Japan
AHE,Ahe Airport,\N,French Polynesia
AMD,Ahmedabad,Ahmedabad,India
AHS,Ahuas Airport,Ahuas,Honduras
AWZ,Ahwaz,Ahwaz,Iran
AIM,Ailuk Airport,Ailuk Island,Marshall Islands
IEO,Aioun El Atrouss,Aioun El Atrouss,Mauritania
HFT,Airport,Hammerfest,Norway
MEH,Airport,Mehamn,Norway
VDS,Airport,Vadso,Norway
AIT,Aitutaki,Aitutaki,Cook Islands
CMF,Aix Les Bains,Chambery,France
QXB,Aix Les Milles,Aix-les-milles,France
AJL,Aizawl,Aizwal,India
AXT,Akita,Akita,Japan
LAK,Aklavik,Aklavik,Canada
AKD,Akola,Akola,India
CAK,Akron Canton Regional Airport,AKRON,United States
AKR,Akron Fulton Intl,Akron,United States
AKT,Akrotiri,Akrotiri,Cyprus
AKU,Aksu Airport,Aksu,China
SCO,Aktau,Aktau,Kazakhstan
PVK,Aktio,Preveza,Greece
AKX,Aktyubinsk,Aktyubinsk,Kazakhstan
AKV,Akulivik Airport,Akulivik,Canada
QCU,Akunnaaq Heliport,\N,Greenland
AEY,Akureyri,Akureyri,Iceland
KQA,Akutan Seaplane Base,Akutan,United States
HOF,Al Ahsa Airport,\N,Saudi Arabia
LEA,Al Ahsa,Al-ahsa,Saudi Arabia
AAN,Al Ain International Airport,\N,United Arab Emirates
ABT,Al Baha,El-baha,Saudi Arabia
AAY,Al Ghaidah Intl,Al Ghaidah Intl,Yemen
AJO,Al Jouf,Al-jouf,Saudi Arabia
AJF,Al-Jawf Domestic Airport,Al-Jawf,Saudi Arabia
ALM,Alamogordo White Sands Regional Airport,Alamogordo,United States
ABC,Albacete,Albacete,Spain
ALH,Albany Airport,Albany,Australia
ALB,Albany Intl,Albany,United States
ALL,Albenga,Albenga,Italy
OAJ,Albert J Ellis,Jacksonville NC,United States
SPG,Albert Whitted,St. Petersburg,United States
MRD,Alberto Carnevalli,Merida,Venezuela
TND,Alberto Delgado Airport,Trinidad,Cuba
ABQ,Albuquerque International Sunport,Albuquerque,United States
IKR,Albuquerque Intl Sunport,Kirtland A.f.b.,United States
ABX,Albury,Albury,Australia
BFS,Aldergrove,Belfast,United Kingdom
ACI,Alderney,Alderney,Guernsey
WKK,Aleknagik Airport,Aleknagik,United States
ALP,Aleppo Intl,Aleppo,Syria
YLT,Alert,Alert,Canada
ALJ,Alexander Bay,Alexander Bay,South Africa
ALR,Alexandra,Alexandra,New Zealand
ALY,Alexandria Intl,Alexandria,Egypt
AEX,Alexandria Intl,Alexandria,United States
JSI,Alexandros Papadiamantis,Skiathos,Greece
HUU,Alferez Fap David Figueroa Fernandini Airport,HuÃ¡nuco,Peru
CLO,Alfonso Bonilla Aragon Intl,Cali,Colombia
VUP,Alfonso Lopez Pumarejo,Valledupar,Colombia
LET,Alfredo Vasquez Cobo,Leticia,Colombia
AHO,Alghero,Alghero,Italy
ALC,Alicante,Alicante,Spain
ALI,Alice Intl,Alice,United States
ASP,Alice Springs,Alice Springs,Australia
IXD,Allahabad,Allahabad,India
LHE,Allama Iqbal Intl,Lahore,Pakistan
BIG,Allen Aaf,Delta Junction,United States
LLU,Alluitsup Paa Heliport,Alluitsup Paa,Greenland
ALA,Almaty,Alma-ata,Kazakhstan
LEI,Almeria,Almeria,Spain
RCH,Almirante Padilla,Rio Hacha,Colombia
REL,Almirante Zar,Trelew,Argentina
CTD,Alonso Valderrama Airport,ChitrÃ©,Panama
APN,Alpena County Regional Airport,Alpena,United States
AFL,Alta Floresta,Alta Floresta,Brazil
ALF,Alta,Alta,Norway
LTI,Altai Airport,\N,Mongolia
ATM,Altamira,Altamira,Brazil
AOC,Altenburg Nobitz,Altenburg,Germany
AOO,Altoona Blair Co,Altoona,United States
LTS,Altus Afb,Altus,United States
ALU,Alula Airport,Alula,Somalia
NSK,Alykel,Norilsk,Russia
ASJ,Amami,Amami,Japan
KDL,Amari,Armari Air Force Base,Estonia
WAI,Ambalabe,Antsohihy,Madagascar
